date,venue,race_no,race_name,detail,horse_no,horse_name,win_odds,implied_prob,fetched_at_jst
2026-05-24,東京,8,三峰山特別,13:50発走 / ダ1600m (左) / 天候:晴 / 馬場:稍,11,ヘニーガイスト,2.3,43.5,2026-05-24 11:06:26+09:00
2026-05-24,東京,8,三峰山特別,13:50発走 / ダ1600m (左) / 天候:晴 / 馬場:稍,12,シンボリノエル,47.4,2.1,2026-05-24 11:06:26+09:00
2026-05-24,東京,8,三峰山特別,13:50発走 / ダ1600m (左) / 天候:晴 / 馬場:稍,13,ペッレグリーニ,17.4,5.7,2026-05-24 11:06:26+09:00
2026-05-24,東京,8,三峰山特別,13:50発走 / ダ1600m (左) / 天候:晴 / 馬場:稍,14,バルダンツァ,11.5,8.7,2026-05-24 11:06:26+09:00
2026-05-24,東京,8,三峰山特別,13:50発走 / ダ1600m (左) / 天候:晴 / 馬場:稍,15,サンカルミア,64.0,1.6,2026-05-24 11:06:26+09:00
2026-05-24,東京,8,三峰山特別,13:50発走 / ダ1600m (左) / 天候:晴 / 馬場:稍,16,ホレーショ,9.2,10.9,2026-05-24 11:06:26+09:00
2026-05-24,東京,9,国分寺特別,14:25発走 / 芝1800m (左 B) / 天候:晴 / 馬場:良,1,アールヴィヴァン,2.1,47.6,2026-05-24 11:06:28+09:00
2026-05-24,東京,9,国分寺特別,14:25発走 / 芝1800m (左 B) / 天候:晴 / 馬場:良,2,レッドバレンティア,25.6,3.9,2026-05-24 11:06:28+09:00
2026-05-24,東京,9,国分寺特別,14:25発走 / 芝1800m (左 B) / 天候:晴 / 馬場:良,3,ドリームクルーズ,14.9,6.7,2026-05-24 11:06:28+09:00
2026-05-24,東京,9,国分寺特別,14:25発走 / 芝1800m (左 B) / 天候:晴 / 馬場:良,4,ホークマン,46.5,2.2,2026-05-24 11:06:28+09:00
2026-05-24,東京,9,国分寺特別,14:25発走 / 芝1800m (左 B) / 天候:晴 / 馬場:良,5,ヤマメキング,49.8,2.0,2026-05-24 11:06:28+09:00
2026-05-24,東京,9,国分寺特別,14:25発走 / 芝1800m (左 B) / 天候:晴 / 馬場:良,6,アルゲンテウス,9.4,10.6,2026-05-24 11:06:28+09:00
2026-05-24,東京,9,国分寺特別,14:25発走 / 芝1800m (左 B) / 天候:晴 / 馬場:良,7,ウインドラート,20.7,4.8,2026-05-24 11:06:28+09:00
2026-05-24,東京,9,国分寺特別,14:25発走 / 芝1800m (左 B) / 天候:晴 / 馬場:良,8,フォルラニーニ,3.8,26.3,2026-05-24 11:06:28+09:00
2026-05-24,東京,9,国分寺特別,14:25発走 / 芝1800m (左 B) / 天候:晴 / 馬場:良,9,ヴァリオーサ,16.4,6.1,2026-05-24 11:06:28+09:00
2026-05-24,東京,9,国分寺特別,14:25発走 / 芝1800m (左 B) / 天候:晴 / 馬場:良,10,コスモイシュタル,12.7,7.9,2026-05-24 11:06:28+09:00
2026-05-24,東京,9,国分寺特別,14:25発走 / 芝1800m (左 B) / 天候:晴 / 馬場:良,11,コスタデラルス,141.4,0.7,2026-05-24 11:06:28+09:00
2026-05-24,東京,9,国分寺特別,14:25発走 / 芝1800m (左 B) / 天候:晴 / 馬場:良,12,バガン,14.8,6.8,2026-05-24 11:06:28+09:00
2026-05-24,東京,10,フリーウェイS,15:01発走 / 芝1400m (左 B) / 天候:晴 / 馬場:良,1,スカイハイ,6.0,16.7,2026-05-24 11:06:30+09:00
2026-05-24,東京,10,フリーウェイS,15:01発走 / 芝1400m (左 B) / 天候:晴 / 馬場:良,2,サトミノキラリ,16.5,6.1,2026-05-24 11:06:30+09:00
2026-05-24,東京,10,フリーウェイS,15:01発走 / 芝1400m (左 B) / 天候:晴 / 馬場:良,3,コートアリシアン,3.7,27.0,2026-05-24 11:06:30+09:00
2026-05-24,東京,10,フリーウェイS,15:01発走 / 芝1400m (左 B) / 天候:晴 / 馬場:良,4,トーセンエスクード,11.8,8.5,2026-05-24 11:06:30+09:00
2026-05-24,東京,10,フリーウェイS,15:01発走 / 芝1400m (左 B) / 天候:晴 / 馬場:良,5,エイムフォーエース,34.4,2.9,2026-05-24 11:06:30+09:00
2026-05-24,東京,10,フリーウェイS,15:01発走 / 芝1400m (左 B) / 天候:晴 / 馬場:良,6,レッドエヴァンス,6.1,16.4,2026-05-24 11:06:30+09:00
2026-05-24,東京,10,フリーウェイS,15:01発走 / 芝1400m (左 B) / 天候:晴 / 馬場:良,7,コスモサガルマータ,25.1,4.0,2026-05-24 11:06:30+09:00
2026-05-24,東京,10,フリーウェイS,15:01発走 / 芝1400m (左 B) / 天候:晴 / 馬場:良,8,コスモアディラート,69.0,1.4,2026-05-24 11:06:30+09:00
2026-05-24,東京,10,フリーウェイS,15:01発走 / 芝1400m (左 B) / 天候:晴 / 馬場:良,9,グーテンベルク,9.9,10.1,2026-05-24 11:06:30+09:00
2026-05-24,東京,10,フリーウェイS,15:01発走 / 芝1400m (左 B) / 天候:晴 / 馬場:良,10,モーデン,24.5,4.1,2026-05-24 11:06:30+09:00
2026-05-24,東京,10,フリーウェイS,15:01発走 / 芝1400m (左 B) / 天候:晴 / 馬場:良,11,ピコローズ,9.2,10.9,2026-05-24 11:06:30+09:00
2026-05-24,東京,10,フリーウェイS,15:01発走 / 芝1400m (左 B) / 天候:晴 / 馬場:良,12,ポエットリー,31.4,3.2,2026-05-24 11:06:30+09:00
2026-05-24,東京,10,フリーウェイS,15:01発走 / 芝1400m (左 B) / 天候:晴 / 馬場:良,13,ウインオーディン,18.8,5.3,2026-05-24 11:06:30+09:00
2026-05-24,東京,10,フリーウェイS,15:01発走 / 芝1400m (左 B) / 天候:晴 / 馬場:良,14,ユハンヌス,10.9,9.2,2026-05-24 11:06:30+09:00
2026-05-24,東京,11,オークス,15:40発走 / 芝2400m (左 B) / 天候:晴 / 馬場:良,1,ミツカネベネラ,299.6,0.3,2026-05-24 11:06:32+09:00
